story_id,wave,prompt_strategy,attempt_index,decision,writeback_status,confidence_before,confidence_after,confidence_delta,target_confidence,lag_before,lag_after,reward,loss,loss_before,loss_delta,kappa_hat
S045,W2,low_external_context,0,approve,written,8.0,10.0,2.0,9.0,1.0,0.0,0.5,0.0,0.111111,0.111111,13.815512
S046,W2,dependency_heavy,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S047,W2,missing_acceptance_criteria,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S048,W2,missing_acceptance_criteria,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S049,W2,low_external_context,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S050,W2,missing_acceptance_criteria,0,approve,written,8.0,10.0,2.0,9.0,1.0,0.0,0.5,0.0,0.111111,0.111111,13.815512
S051,W2,dependency_heavy,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S052,W2,missing_acceptance_criteria,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S053,W2,missing_acceptance_criteria,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S054,W2,missing_acceptance_criteria,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S055,W2,low_external_context,0,approve,written,8.0,10.0,2.0,9.0,1.0,0.0,0.5,0.0,0.111111,0.111111,13.815512
S056,W2,dependency_heavy,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S057,W2,missing_acceptance_criteria,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S058,W2,missing_acceptance_criteria,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S059,W2,missing_acceptance_criteria,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S060,W2,missing_acceptance_criteria,0,approve,written,8.0,10.0,2.0,9.0,1.0,0.0,0.5,0.0,0.111111,0.111111,13.815512
S061,W2,missing_acceptance_criteria,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S062,W2,missing_acceptance_criteria,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S063,W2,dependency_heavy,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S064,W2,missing_acceptance_criteria,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S065,W2,missing_acceptance_criteria,0,approve,written,8.0,10.0,2.0,9.0,1.0,0.0,0.5,0.0,0.111111,0.111111,13.815512
S066,W2,missing_acceptance_criteria,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S067,W2,missing_acceptance_criteria,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S068,W2,missing_acceptance_criteria,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S069,W2,missing_acceptance_criteria,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S070,W2,missing_acceptance_criteria,0,approve,written,8.0,10.0,2.0,9.0,1.0,0.0,0.5,0.0,0.111111,0.111111,13.815512
