attempt_time,kappa,normalized_lag
2.7342,0.6323,0.177504
2.7342,0.6905,0.151379
2.7342,0.7487,0.129099
2.7342,0.807,0.110099
2.7342,0.8652,0.093895
2.7342,0.9234,0.080075
2.7342,0.9816,0.06829
2.7342,1.0399,0.058239
2.7342,1.0981,0.049668
2.7342,1.1563,0.042358
3.038,0.05,0.859075
3.038,0.1082,0.719792
3.038,0.1665,0.60309
3.038,0.2247,0.50531
3.038,0.2829,0.423383
3.038,0.3411,0.354739
3.038,0.3994,0.297225
3.038,0.4576,0.249035
3.038,0.5158,0.208658
3.038,0.5741,0.174828
3.038,0.6323,0.146483
3.038,0.6905,0.122733
3.038,0.7487,0.102834
3.038,0.807,0.086162
3.038,0.8652,0.072192
3.038,0.9234,0.060487
3.038,0.9816,0.05068
3.038,1.0399,0.042464
3.038,1.0981,0.035579
3.038,1.1563,0.02981
3.3418,0.05,0.846125
3.3418,0.1082,0.69651
3.3418,0.1665,0.573351
3.3418,0.2247,0.471969
3.3418,0.2829,0.388514
3.3418,0.3411,0.319816
3.3418,0.3994,0.263265
3.3418,0.4576,0.216714
3.3418,0.5158,0.178394
3.3418,0.5741,0.14685
3.3418,0.6323,0.120883
3.3418,0.6905,0.099508
3.3418,0.7487,0.081913
3.3418,0.807,0.067429
3.3418,0.8652,0.055506
3.3418,0.9234,0.045691
3.3418,0.9816,0.037612
3.3418,1.0399,0.030961
3.3418,1.0981,0.025487
3.3418,1.1563,0.02098
3.6456,0.05,0.833369
3.6456,0.1082,0.673982
3.6456,0.1665,0.545078
3.6456,0.2247,0.440828
3.6456,0.2829,0.356517
3.6456,0.3411,0.288331
3.6456,0.3994,0.233186
3.6456,0.4576,0.188587
3.6456,0.5158,0.152519
3.6456,0.5741,0.123349
3.6456,0.6323,0.099757
3.6456,0.6905,0.080678
3.6456,0.7487,0.065248
3.6456,0.807,0.052769
3.6456,0.8652,0.042676
3.6456,0.9234,0.034514
3.6456,0.9816,0.027913
3.6456,1.0399,0.022575
3.6456,1.0981,0.018257
3.6456,1.1563,0.014765
3.9494,0.05,0.820806
3.9494,0.1082,0.652182
3.9494,0.1665,0.5182
3.9494,0.2247,0.411742
3.9494,0.2829,0.327155
3.9494,0.3411,0.259945
3.9494,0.3994,0.206543
3.9494,0.4576,0.164111
3.9494,0.5158,0.130397
3.9494,0.5741,0.103608
3.9494,0.6323,0.082323
3.9494,0.6905,0.065411
3.9494,0.7487,0.051973
3.9494,0.807,0.041296
3.9494,0.8652,0.032812
3.9494,0.9234,0.026071
3.9494,0.9816,0.020715
3.9494,1.0399,0.01646
3.9494,1.0981,0.013078
3.9494,1.1563,0.010391
4.2532,0.05,0.808432
4.2532,0.1082,0.631087
4.2532,0.1665,0.492646
4.2532,0.2247,0.384575
4.2532,0.2829,0.300211
4.2532,0.3411,0.234354
4.2532,0.3994,0.182944
4.2532,0.4576,0.142812
4.2532,0.5158,0.111483
4.2532,0.5741,0.087027
4.2532,0.6323,0.067936
4.2532,0.6905,0.053033
4.2532,0.7487,0.041399
4.2532,0.807,0.032318
4.2532,0.8652,0.025228
4.2532,0.9234,0.019694
4.2532,0.9816,0.015374
4.2532,1.0399,0.012001
4.2532,1.0981,0.009368
4.2532,1.1563,0.007313
4.557,0.05,0.796245
4.557,0.1082,0.610675
4.557,0.1665,0.468353
4.557,0.2247,0.359201
4.557,0.2829,0.275487
4.557,0.3411,0.211283
4.557,0.3994,0.162042
4.557,0.4576,0.124277
4.557,0.5158,0.095313
4.557,0.5741,0.0731
4.557,0.6323,0.056064
4.557,0.6905,0.042998
4.557,0.7487,0.032977
4.557,0.807,0.025291
4.557,0.8652,0.019397
4.557,0.9234,0.014876
4.557,0.9816,0.011409
4.557,1.0399,0.00875
4.557,1.0981,0.006711
